category,confidence,duplicate_flag,urgent_flag,description_length,severity
Water,0.8197,1,0,38,High
Other,0.6375,0,0,34,Moderate
Electricity,0.8682,0,0,29,High
Garbage,0.9461,1,0,41,Moderate
Garbage,0.711,1,0,37,Moderate
Water,0.6093,0,0,32,Moderate
Electricity,0.5133,0,0,35,Low
Road,0.8249,0,1,41,High
Other,0.6102,0,0,23,Moderate
Other,0.9047,1,0,32,Moderate
Electricity,0.9029,0,0,36,High
Road,0.6701,0,1,30,High
Road,0.9786,0,1,33,High
Road,0.5464,1,0,36,Low
Other,0.9237,0,0,41,Moderate
Road,0.9036,0,1,34,High
Other,0.7681,0,0,29,Moderate
Electricity,0.6893,0,0,44,Moderate
Other,0.9147,0,0,41,Moderate
Water,0.9309,0,1,37,High
Road,0.8523,1,0,32,High
Electricity,0.6139,0,0,45,Moderate
Garbage,0.5399,0,0,27,Low
Water,0.5505,0,1,43,High
Electricity,0.8178,0,0,42,High
Water,0.6851,0,0,47,Moderate
Electricity,0.6335,0,0,34,Moderate
Garbage,0.824,0,0,42,Moderate
Garbage,0.5856,0,0,33,Low
Garbage,0.5817,0,0,42,Low
Water,0.9948,0,0,29,High
Road,0.7785,0,0,38,Moderate
Other,0.9214,0,0,33,Moderate
Electricity,0.6145,1,0,34,Moderate
Water,0.6577,0,0,41,Moderate
Garbage,0.6055,0,1,43,High
Road,0.9382,0,1,47,High
Other,0.8277,0,0,34,Moderate
Electricity,0.9573,0,0,42,High
Garbage,0.6324,0,0,48,Moderate
Electricity,0.7807,0,1,44,High
Water,0.7923,0,1,41,High
Road,0.6997,0,0,30,Moderate
Garbage,0.9988,0,0,31,Moderate
Other,0.5455,1,0,36,Low
Garbage,0.5548,0,0,34,Low
Other,0.896,0,0,44,Moderate
Garbage,0.5318,0,0,34,Low
Electricity,0.9981,0,1,39,High
Electricity,0.9855,0,0,40,High
Other,0.5057,0,0,43,Low
Water,0.8409,0,0,41,High
Electricity,0.6334,0,0,44,Moderate
Road,0.5558,0,0,28,Low
Other,0.7269,0,0,27,Moderate
Other,0.9379,0,0,40,Moderate
Other,0.7503,0,0,32,Moderate
Electricity,0.9563,0,0,42,High
Garbage,0.6492,0,0,36,Moderate
Other,0.8045,0,0,31,Moderate
Road,0.8813,0,0,32,High
Electricity,0.8893,0,0,35,High
Water,0.5003,0,1,42,High
Water,0.5097,0,0,31,Low
Road,0.9394,0,1,36,High
Road,0.6538,1,0,29,Moderate
Garbage,0.939,0,0,33,Moderate
Electricity,0.5428,0,0,22,Low
Other,0.5346,0,0,35,Low
Electricity,0.8829,1,0,32,High
Other,0.7376,0,0,33,Moderate
Other,0.6325,0,0,41,Moderate
Water,0.7116,0,0,39,Moderate
Water,0.7696,0,0,32,Moderate
Electricity,0.6006,0,0,30,Moderate
Water,0.9976,0,1,42,High
Road,0.7191,0,0,39,Moderate
Electricity,0.5605,0,0,37,Low
Road,0.669,0,0,32,Moderate
Garbage,0.6151,0,0,31,Moderate
Garbage,0.5355,0,0,33,Low
Garbage,0.6145,0,0,30,Moderate
Electricity,0.9298,1,0,27,High
Road,0.619,0,1,37,High
Other,0.6071,1,0,28,Moderate
Other,0.9678,0,0,31,Moderate
Garbage,0.7363,0,0,33,Moderate
Road,0.9037,0,0,28,High
Garbage,0.5485,0,0,44,Low
Water,0.7118,0,0,33,Moderate
Garbage,0.8645,0,0,48,Moderate
Garbage,0.9921,1,0,32,Moderate
Road,0.7013,0,0,27,Moderate
Road,0.9308,0,0,29,High
Other,0.5951,0,0,30,Low
Road,0.8109,0,0,51,High
Road,0.6249,0,0,27,Moderate
Water,0.7216,0,0,42,Moderate
Electricity,0.7752,1,1,39,High
Electricity,0.9996,0,0,31,High
