text,category
Water supply not working at roundabout,Water
Tree accumulating near petrol pump,Other
worn out electric transformer,Electricity
Improper waste disposal beside the mosque,Garbage
Improper waste disposal at roundabout,Garbage
Drain damaged near shopping mall,Water
Street light damaged near bus depot,Electricity
Street surface Collapsed near petrol pump,Road
Public park overflowing,Other
Railing worn out near the market,Other
Transformer not working on ring road,Electricity
Dangerous fault near bus depot,Road
Dangerous problem near the market,Road
Highway deteriorated at the junction,Road
Walkway severely damaged near petrol pump,Other
Dangerous fault beside the stadium,Road
Stray animals causing blocked,Other
Electric pole in bad shape beside the bridge,Electricity
Information board broken near cinema hall,Other
Water pipe flooding beside the mosque,Water
main road needs immediate repair,Road
Electric pole deteriorated beside the stadium,Electricity
Trash dumped from waste bin,Garbage
Critical water overflowing near parking lot,Water
Constant power out of order on bypass road,Electricity
deteriorated drainage system beside the stadium,Water
Voltage out of order at roundabout,Electricity
Improper waste disposal near metro station,Garbage
Wide garbage pile near the school,Garbage
Street scattered with litter at roundabout,Garbage
Water seepage on service road,Water
Street surface Damaged near the market,Road
Construction fault near bus depot,Other
No power supply near shopping mall,Electricity
Water tank overflowing beside the stadium,Water
collection point collapsed and accumulating,Garbage
Uneven road causing accidents beside the mosque,Road
Stray animals causing out of order,Other
Electric line out of order on service road,Electricity
Waste heap producing bad smell beside the bridge,Garbage
Cable hanging dangerously in industrial area,Electricity
Drainage collapsed near government office,Water
Big pothole near metro station,Road
Uncollected trash at roundabout,Garbage
Barrier damaged near railway station,Other
Rubbish abandoned near cinema hall,Garbage
Information board damaged near metro station,Other
Rubbish piling up beside the canal,Garbage
Major electric wire hanging dangerously,Electricity
Voltage malfunctioning near the bus stop,Electricity
Pedestrian bridge worn out near parking lot,Other
Drain deteriorated near apartment complex,Water
Streetlight malfunctioning beside the bridge,Electricity
Asphalt damage near the park,Road
Public playground piling up,Other
Noise not working from construction site,Other
broken in near apartment complex,Other
Street light not working beside the church,Electricity
Garbage problem in front of hospital,Garbage
Tree piling up near parking lot,Other
Road deteriorated on bypass road,Road
Power blocked near railway crossing,Electricity
Flood water piling up near office building,Water
Water dripping from supply line,Water
Collapsed pavement beside the temple,Road
Wide pothole beside the river,Road
Industrial waste defect in colony,Garbage
out of order from wire,Electricity
Noise failed from construction site,Other
No power supply near parking lot,Electricity
Stray dogs causing malfunctioning,Other
Warning sign cracked in front of hospital,Other
Sewage out of order in residential area,Water
Water seepage near shopping mall,Water
Transformer damaged on highway,Electricity
Excessive water flooding beside the church,Water
Bad road condition near railway station,Road
Electric line damaged at the junction,Electricity
Multiple potholes on bypass road,Road
Wide garbage pile near the park,Garbage
dumpster damaged and accumulating,Garbage
Waste damage beside the temple,Garbage
Power not working in colony,Electricity
Dangerous problem in residential area,Road
Public bus shelter abandoned,Other
Gate in bad shape at roundabout,Other
Garbage problem beside the church,Garbage
Road broken near petrol pump,Road
Garbage bags lying around in industrial area,Garbage
Drain cracked in residential area,Water
Waste heap producing bad smell beside the mosque,Garbage
Waste defect in residential area,Garbage
Asphalt damage on ring road,Road
Asphalt fault at the junction,Road
Public playground accumulating,Other
Traffic problem due to bad road in residential area,Road
Road broken at the junction,Road
Water supply malfunctioning on bypass road,Water
Electric pole causing danger on highway,Electricity
Transformer failed on main road,Electricity
No power supply beside the lake,Electricity
Waste problem near the market,Garbage
Waste dumped on bypass road,Garbage
Noise blocked from construction site,Other
Drainage damaged beside the canal,Water
Transformer broken near government office,Electricity
Street scattered with litter near metro station,Garbage
malfunctioning in near the market,Other
residential street needs immediate repair,Road
dumpster broken and overflowing,Garbage
Streetlights cracked near the park,Electricity
Power out of order on ring road,Electricity
Street accumulating with litter beside the church,Garbage
Tree lying around near railway station,Other
Urgent electric wire hanging dangerously,Electricity
Sewage out of order in colony,Water
Tree accumulating near police station,Other
Dangerous defect beside the lake,Road
ring road out of order in industrial area,Road
Garbage problem beside the lake,Garbage
Streetlight damaged at roundabout,Electricity
Manhole bursting with water,Water
Continuous water leaking near metro station,Water
Highway collapsed beside the temple,Road
main road needs emergency repair,Road
Footpath defect beside the stadium,Other
Water seeping from overhead tank,Water
Drainage deteriorated in industrial area,Water
Electric pole causing danger near government office,Electricity
Gate worn out near cinema hall,Other
Improper waste disposal in commercial area,Garbage
